Nombre;URL;Precio;Area;Habitaciones;Baños
Apartamento en Venta, CHAPINERO ALTO Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-maria-cristina-2-habitaciones-2-banos-1-garajes/MC4879119;$360.000.000;65 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-pardo-rubio-2-habitaciones-2-banos-1-garajes/93-M4894500;$360.000.000;66 m²;2;2
Apartamento en Venta, chapinero norte, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-1-banos-1-garajes/3147-M4531325;$360.000.000;64 m²;2;1
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-1-banos-1-garajes/754-M4513708;$360.000.000;53 m²;2;1
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-sur-occidental-2-habitaciones-2-banos-1-garajes/3222-M4842715;$360.000.000;57 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/RV-M4573597;$365.000.000;68.37 m²;2;2
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos/800-M4598365;$365.300.000;75 m²;2;2
Apartamento en Venta, Chapinero Norte, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-1-banos-1-garajes/384-M4206920;$370.000.000;79.11 m²;2;1
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-na-2-habitaciones-2-banos-1-garajes/10858-M4570519;$370.000.000;74 m²;2;2
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-quesada-2-habitaciones-2-banos-2-garajes/16468-M4721175;$370.000.000;59 m²;2;2
Apartamento en Venta, Chapinero Norte, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos-1-garajes/897-M4806122;$370.000.000;60 m²;2;2
Apartamento en Venta, CHAPINERO ALTO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/223-11835;$370.000.000;64 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos/183-M4171742;$370.000.000;58 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-emaus-2-habitaciones-2-banos-1-garajes/603-M4460665;$370.000.000;57 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos-1-garajes/411-M4933531;$375.000.000;68.98 m²;2;2
Apartamento en Venta, Chapinero Central, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-1-garajes/507-M4887879;$375.000.000;64 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos-1-garajes/411-M3869555;$375.000.000;68.98 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-el-paraiso-2-habitaciones-2-banos-1-garajes/175-M4938351;$379.000.000;61 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/11369-M4887837;$379.000.000;61 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/350-M4762472;$379.900.000;60.89 m²;2;2
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-sur-occidental-2-habitaciones-2-banos-1-garajes/183-M4150959;$380.000.000;50.97 m²;2;2
Apartamento en Venta, CHAPINERO ALTO Chicó, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-emaus-2-habitaciones-2-banos-1-garajes/MC4930195;$380.000.000;81.55 m²;2;2
Apartamento en Venta, CHAPINERO ALTO EMAUS, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-maria-cristina-2-habitaciones-1-banos-1-garajes/898-M3356667;$380.000.000;50 m²;2;1
Apartamento en Venta, CHAPINERO ALTO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-maria-cristina-2-habitaciones-3-banos-1-garajes/800-M3643083;$380.000.000;68 m²;2;3
Apartamento en Venta, Chapinero, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-marly-2-habitaciones-1-banos-1-garajes/5031-M4514663;$380.000.000;53 m²;2;1
Apartamento en Venta, CHAPINERO ALTO EMAUS Chicó, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-emaus-2-habitaciones-1-banos-1-garajes/MC4840309;$380.000.000;55 m²;2;1
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-edif-oikos-55-2-habitaciones-2-banos-1-garajes/4186-M4850932;$380.000.000;61 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-edif-oikos-55-2-habitaciones-2-banos-1-garajes/4186-M4801368;$380.000.000;61 m²;2;2
Apartamento en Venta, CHAPINERO CENTRAL, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-central-2-habitaciones-2-banos-2-garajes/2699-M3037924;$380.000.000;74 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-la-porciuncula-2-habitaciones-2-banos-1-garajes/223-M2984368;$380.000.000;70 m²;2;2
Apartamento en Venta, CHAPINERO ALTO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/13034-M4618081;$380.000.000;60.89 m²;2;2
Apartamento en Venta, Chapinero Alto, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/920-M4948492;$380.000.000;57 m²;2;2
Apartamento en Venta, CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-edif-oikos-55-2-habitaciones-2-banos-1-garajes/4186-M4807892;$380.000.000;61 m²;2;2
Apartamento en Venta, Chapinero Norte, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chapinero-norte-2-habitaciones-2-banos-1-garajes/17014-M4922721;$380.000.000;79 m²;2;2
Apartamento en Venta, CHAPINERO ALTO LA SALLE, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-1-banos-1-garajes/800-M2827684;$380.000.000;52 m²;2;1
Apartamento en Venta, CHAPINERO ALTO LA SALLE, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-calderon-2-habitaciones-1-banos-1-garajes/800-M3288507;$380.000.000;52 m²;2;1
Apartamento en Venta, JAVERIANA CHAPINERO, Bogotá D.C.;https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-sucre-2-habitaciones-2-banos/10278-M4651202;$380.000.000;68 m²;2;2
